   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5840    0.016    0.000    0.319    0.000 csv.py:86(fieldnames)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:177(_ndptr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:330(prep_simple)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      358    0.009    0.000    0.586    0.002 decoder.py:359(decode)
      358    0.560    0.002    0.560    0.002 decoder.py:370(raw_decode)
        1    0.015    0.015    0.033    0.033 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:208(matrix)
        1    0.000    0.000    0.000    0.000 difflib.py:1670(HtmlDiff)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:44(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:764(Differ)
        1    0.015    0.015    0.015    0.015 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        3    0.000    0.000    0.000    0.000 encoder.py:101(__init__)
        6    0.072    0.012    1.146    0.191 encoder.py:186(encode)
        6    0.001    0.000    0.001    0.000 encoder.py:212(iterencode)
     7842    0.014    0.000    0.033    0.000 encoder.py:236(floatstr)
        3    0.000    0.000    0.000    0.000 encoder.py:272(_make_iterencode)
      156    0.000    0.000    0.000    0.000 encoder.py:288(_iterencode_list)
480036/88746    0.755    0.000    0.956    0.000 encoder.py:341(_iterencode_dict)
    20538    0.023    0.000    0.023    0.000 encoder.py:361(<lambda>)
    88746    0.115    0.000    1.071    0.000 encoder.py:417(_iterencode)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1439(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1451(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1505(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1521(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:216(_fromnxfunction)
        9    0.000    0.000    0.000    0.000 extras.py:236(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:240(getdoc)
        1    0.000    0.000    0.000    0.000 extras.py:271(_fromnxfunction_single)
        1    0.000    0.000    0.000    0.000 extras.py:289(_fromnxfunction_seq)
        1    0.000    0.000    0.000    0.000 extras.py:302(_fromnxfunction_args)
        1    0.000    0.000    0.000    0.000 extras.py:327(_fromnxfunction_allargs)
        1    0.005    0.005    0.005    0.005 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 filecmp.py:10(<module>)
        1    0.000    0.000    0.000    0.000 filecmp.py:77(dircmp)
        1    0.000    0.000    0.000    0.000 filtermcsample.py:1(<module>)
        1    0.000    0.000    0.000    0.000 filtermcsample.py:16(GenericFilter)
       36    0.000    0.000    0.000    0.000 filtermcsample.py:17(__init__)
        1    0.000    0.000    0.000    0.000 filtermcsample.py:67(JHUGenFilter)
        1    0.000    0.000    0.000    0.000 filtermcsample.py:7(FilterImplementation)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        6    0.001    0.000    0.002    0.000 fnmatch.py:45(filter)
        1    0.000    0.000    0.000    0.000 fnmatch.py:85(translate)
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
        1    0.001    0.001    0.001    0.001 fromnumeric.py:3(<module>)
        2    0.003    0.001    0.003    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:2364(vectorize)
      273    0.002    0.000    0.006    0.000 function_base.py:4361(add_newdoc)
       30    0.000    0.000    0.001    0.000 functools.py:17(update_wrapper)
       30    0.000    0.000    0.000    0.000 functools.py:39(wraps)
     2910    0.022    0.000    3.680    0.001 genericpath.py:23(exists)
      337    0.007    0.000    0.071    0.000 genericpath.py:34(isfile)
       36    0.001    0.000    0.002    0.000 genericpath.py:46(isdir)
       72    0.002    0.000    0.002    0.000 genericpath.py:76(commonprefix)
        1    0.000    0.000    0.000    0.000 getlimits.py:198(iinfo)
        1    0.000    0.000    0.000    0.000 getlimits.py:25(finfo)
        5    0.000    0.000    0.000    0.000 getlimits.py:250(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:275(max)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      922    0.035    0.000    0.047    0.000 getpass.py:141(getuser)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        6    0.000    0.000    0.004    0.001 glob.py:18(glob)
        6    0.000    0.000    0.004    0.001 glob.py:29(iglob)
        6    0.000    0.000    0.003    0.000 glob.py:71(glob1)
      144    0.000    0.000    0.000    0.000 glob.py:82(<lambda>)
        6    0.000    0.000    0.000    0.000 glob.py:99(has_magic)
        1    0.001    0.001    0.002    0.002 gridpackbysomeoneelse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gridpackbysomeoneelse.py:12(GridpackBySomeoneElse)
        1    0.000    0.000    0.000    0.000 gridpackbysomeoneelse.py:158(MadGraphHJJFromThomasPlusJHUGen)
       36    0.002    0.000    0.002    0.000 gridpackbysomeoneelse.py:159(__init__)
     5343    0.005    0.000    0.005    0.000 gridpackbysomeoneelse.py:163(identifiers)
       42    0.000    0.000    0.000    0.000 gridpackbysomeoneelse.py:167(tarballversion)
       42    0.000    0.000    0.002    0.000 gridpackbysomeoneelse.py:241(allsamples)
        6    0.000    0.000    0.000    0.000 gridpackbysomeoneelse.py:250(responsible)
       24    0.001    0.000    0.001    0.000 gridpackbysomeoneelse.py:254(cvmfstarball_anyversion)
        1    0.000    0.000    0.000    0.000 gridpackbysomeoneelse.py:52(MadGraphGridpackBySomeoneElse)
        1    0.000    0.000    0.000    0.000 gridpackbysomeoneelse.py:55(MadGraphHZZdFromJake)
      180    0.002    0.000    0.003    0.000 gridpackbysomeoneelse.py:56(__init__)
    26830    0.025    0.000    0.025    0.000 gridpackbysomeoneelse.py:60(identifiers)
       90    0.000    0.000    0.001    0.000 gridpackbysomeoneelse.py:64(tarballversion)
      186    0.001    0.000    0.004    0.000 gridpackbysomeoneelse.py:83(allsamples)
       30    0.000    0.000    0.000    0.000 gridpackbysomeoneelse.py:93(responsible)
      120    0.001    0.000    0.005    0.000 gridpackbysomeoneelse.py:97(cvmfstarball_anyversion)
        1    0.000    0.000    0.000    0.000 helper.py:230(_FFTCache)
        2    0.000    0.000    0.000    0.000 helper.py:251(__init__)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1815(Hermite)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1812(HermiteE)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
      446    0.007    0.000    0.012    0.000 httplib.py:1020(putheader)
      220    0.001    0.000   10.655    0.048 httplib.py:1040(endheaders)
        3    0.000    0.000    0.125    0.042 httplib.py:1055(request)
        3    0.000    0.000    0.000    0.000 httplib.py:1059(_set_content_length)
        3    0.000    0.000    0.125    0.042 httplib.py:1082(_send_request)
      220    0.007    0.000    7.594    0.035 httplib.py:1099(getresponse)
      217    0.002    0.000    0.002    0.000 httplib.py:1175(_setup)
      217    0.000    0.000    0.000    0.000 httplib.py:1197(getfile)
      217    0.002    0.000    7.426    0.034 httplib.py:1201(getreply)
      220    0.004    0.000    2.244    0.010 httplib.py:1254(__init__)
      220    0.005    0.000   10.630    0.048 httplib.py:1267(connect)
