Found a cookie file at /afs/cern.ch/user/p/pgunnell/private/prod-cookie.txt. Make sure it's not expired!
Using sso-cookie file /afs/cern.ch/user/p/pgunnell/private/prod-cookie.txt
Dataset name                                   PrepID root request                                         Link to PrepID root request
VectorDiJet1Jet_madgraph_Mphi150Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00054    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00054
VectorDiJet1Jet_madgraph_Mphi175Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00055    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00055
VectorDiJet1Jet_madgraph_Mphi200Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00056    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00056
VectorDiJet1Jet_madgraph_Mphi225Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00057    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00057
VectorDiJet1Jet_madgraph_Mphi250Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00058    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00058
VectorDiJet1Jet_madgraph_Mphi275Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00059    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00059
VectorDiJet1Jet_madgraph_Mphi300Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00060    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00060
VectorDiJet1Jet_madgraph_Mphi350Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00061    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00061
VectorDiJet1Jet_madgraph_Mphi400Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00062    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00062
VectorDiJet1Jet_madgraph_Mphi450Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00063    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00063
VectorDiJet1Jet_madgraph_Mphi500Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00064    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00064
VectorDiJet1Jet_madgraph_Mphi50Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00065    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00065
VectorDiJet1Jet_madgraph_Mphi75Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00066    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00066
VectorDiJet1Jet_madgraph_Mphi100Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00067    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00067
VectorDiJet1Jet_madgraph_Mphi115Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00068    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00068
VectorDiJet1Jet_madgraph_Mphi125Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00069    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00069
VectorDiJet1Jet_madgraph_Mphi150Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00070    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00070
VectorDiJet1Jet_madgraph_Mphi175Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00071    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00071
VectorDiJet1Jet_madgraph_Mphi200Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00072    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00072
VectorDiJet1Jet_madgraph_Mphi225Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00073    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00073
VectorDiJet1Jet_madgraph_Mphi250Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00074    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00074
VectorDiJet1Jet_madgraph_Mphi275Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00075    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00075
VectorDiJet1Jet_madgraph_Mphi300Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00076    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00076
VectorDiJet1Jet_madgraph_Mphi350Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00077    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00077
VectorDiJet1Jet_madgraph_Mphi400Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00078    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00078
VectorDiJet1Jet_madgraph_Mphi450Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00079    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00079
VectorDiJet1Jet_madgraph_Mphi500Mchi1_13TeV    EXO-RunIIFall17wmLHEGS-00080    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00080
DisplacedSUSY_stopToBottom_M_1200_10mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00074    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00074
DisplacedSUSY_stopToBottom_M_1200_100mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00075    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00075
DisplacedSUSY_stopToBottom_M_1200_1000mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00076    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00076
DisplacedSUSY_stopToBottom_M_1300_1mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00077    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00077
DisplacedSUSY_stopToBottom_M_1300_10mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00078    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00078
DisplacedSUSY_stopToBottom_M_1600_10mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00090    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00090
DisplacedSUSY_stopToBottom_M_1700_1000mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00096    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00096
DisplacedSUSY_stopToBottom_M_1800_1mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00097    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00097
DisplacedSUSY_stopToBottom_M_1800_10mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00098    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00098
DisplacedSUSY_stopToBottom_M_1800_100mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00099    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00099
DisplacedSUSY_stopToBottom_M_1800_1000mm_TuneCP5_13TeV_pythia8    EXO-RunIIFall17GS-00100    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17GS-00100
GluGluToHiggs0McontinToZZTo2e2tau_M125_GaSM_13TeV_MCFM701_pythia8    HIG-RunIIFall17wmLHEGS-00766    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00766
QCD_Pt_250toInf_bcToE_TuneCP5_13TeV_pythia8    HIG-RunIIFall17GS-00081    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17GS-00081
GluGluHToZZTo4L_M190_13TeV_powheg2_JHUGenV7011_pythia8    HIG-RunIIFall17wmLHEGS-00072    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00072
GluGluHToZZTo4L_M200_13TeV_powheg2_JHUGenV7011_pythia8    HIG-RunIIFall17wmLHEGS-00073    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00073
GluGluToBulkGravitonToHHTo2B2Tau_M-550_narrow_13TeV-madgraph    HIG-RunIIFall17wmLHEGS-00475    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00475
WminusHToTauTau_M125_13TeV_powheg_pythia8    HIG-RunIIFall17wmLHEGS-00478    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00478
GluGluToBulkGravitonToHHTo4B_M-550_narrow_13TeV-madgraph    HIG-RunIIFall17wmLHEGS-00489    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00489
DYJetsToEE_M-50_LTbinned_0To75_5f_LO_13TeV-madgraph_pythia8    HIG-RunIIFall17wmLHEGS-00532    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00532
DYJetsToEE_M-50_LTbinned_75To80_5f_LO_13TeV-madgraph_pythia8    HIG-RunIIFall17wmLHEGS-00533    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00533
DYJetsToEE_M-50_LTbinned_80To85_5f_LO_13TeV-madgraph_pythia8    HIG-RunIIFall17wmLHEGS-00534    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00534
DYJetsToEE_M-50_LTbinned_95To100_5f_LO_13TeV-madgraph_pythia8    HIG-RunIIFall17wmLHEGS-00537    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00537
DYJetsToEE_M-50_LTbinned_100To200_5f_LO_13TeV-madgraph_pythia8    HIG-RunIIFall17wmLHEGS-00538    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00538
DYJetsToEE_M-50_LTbinned_400To800_5f_LO_13TeV-madgraph_pythia8    HIG-RunIIFall17wmLHEGS-00540    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00540
DY1JetsToLL_M-50_LHEZpT_250-400_TuneCP5_13TeV-amcnloFXFX-pythia8    HIG-RunIIFall17wmLHEGS-00600    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00600
DY1JetsToLL_M-50_LHEZpT_400-inf_TuneCP5_13TeV-amcnloFXFX-pythia8    HIG-RunIIFall17wmLHEGS-00601    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00601
DY2JetsToLL_M-50_LHEZpT_250-400_TuneCP5_13TeV-amcnloFXFX-pythia8    HIG-RunIIFall17wmLHEGS-00605    https://cms-pdmv.cern.ch/mcm/requests?prepid=HIG-RunIIFall17wmLHEGS-00605
